document_type|page_no|content|part|chapter|lesson
sgk 10|0006|"Lịch sử loài người cho ta biết những sự việc diễn ra trong đời sống con người kể từ khi xuất hiện trên Trái Đất.
Khoa học, đặc biệt là Khảo cổ học và Cổ sinh học, đã tìm được nhiều bằng cử nói lên sự phát triển lâu dài từ động vật cáp thấp lên động vật cấp cao. Đỉnh cao của quá trình này là sự chuyên biên tử vượn thành người.
1. SỰ Xuất hiện loài người và đời sống bầy người nguyên thuỷ
Ở chặng đầu của quá trình hình thành loài người, có một loài vượn cổ, sống khoảng 6 triệu năm trước đây, đã có thể đứng và đi bằng hai chân, dùng tay để cầm nắm, ăn hoa quả, củ, lá và cả động vật nhỏ. Xương hoá thạch của chúng được tìm thấy ở Đông Phi, Tây Á và cả ở Việt Nam.
Trên đà tiến triển, vượn cổ chuyển biến thành Người tối cổ, bắt đầu từ khoảng 4 triệu năm trước đây. Di cốt Người tối cổ được tìm thấy ở Đông Phi, Gia-va (In-đô-nê-xi-a), Bắc Kinh (Trung Quốc) vv... Ở Thanh Hoá (Việt Nam), tuy chưa tìm thấy di cốt nhưng lại phát hiện được công cụ bằng đá của Người tối cổ."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 1 : SỰ XUẤT HIỆN LOÀI NGƯỜI VÀ BẦY NGƯỜI NGUYÊN THUỶ 
sgk 10|0007|"Người tối cổ hầu như đã hoàn toàn đi, đứng bằng hai chân. Đôi tay được tự do để sử dụng công cụ, kiếm thức ăn. Cơ thể của họ đã có nhiều biến đổi : tuy trán còn thấp và bợt ra sau, u mày còn nổi cao, nhưng hộp sọ đã lớn hơn so với loài vượn cổ và đã hình thành trung tâm phát tiếng nói trong não.
Tuy chưa loại bỏ hết dấu tích vượn trên cơ thể mình nhưng Người tối cổ đã là người. Đây là hình thức tiến triển nhảy vọt từ vượn thành người, là thời kì đầu tiên của lịch sử loài người.
Từ chỗ sử dụng những mảnh đá có sẵn để làm công cụ, Người tối cổ đã biết lấy những mảnh đá hay hòn cuội lớn, đem ghè một mặt cho sắc và vừa tay cầm.
Như thế, họ đã bắt đầu biết chế tác công cụ. Công cụ thô kệch này được gọi là đồ đá cũ (sơ kì). Với những chiếc rìu đá kiểu đó, người ta chặt cây làm gậy hoặc dùng trực tiếp làm vũ khí, tự vệ hay tấn công các con thú, để kiếm thức ăn.
Từ chỗ giữ lửa, lấy trong tự nhiên năm này qua năm khác để sưởi ấm, đuổi dã thú, nướng chín thức ăn, con người đã biết ghè hai mảnh đá với nhau để lấy lửa. Đây là một phát minh lớn mà nhờ nó, con người có thể sử dụng một thứ năng lượng quan trọng bậc nhất, cải thiện căn bản đời sống của mình.
Qua lao động, chế tạo công cụ và sử dụng công cụ, bàn tay con người khéo léo dần. Cơ thể cũng do đó biến đổi theo để có tư thế lao động thích hợp. Tiếng nói thuần thục hơn do nhu cầu trao đổi với nhau. Con người tự cải biến, hoàn thiện mình từng bước nhờ lao động."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 1 : SỰ XUẤT HIỆN LOÀI NGƯỜI VÀ BẦY NGƯỜI NGUYÊN THUỶ 
sgk 10|0008|"Ở một số loài động vật đã hình thành một cách tự nhiên quan hệ hợp đoàn, có đôi, có đàn và con đầu đàn. Người tối cổ đã có quan hệ hợp quần xã hội : có người đứng đầu, có phân công lao động giữa nam và nữ, cùng chăm sóc con cái.
Họ sống trong hang động, mái đá hoặc cũng có thể dựng lều bằng cành cây, da thú, sống quây quần theo quan hệ ruột thịt với nhau, gồm 5 – 7 gia đình. Mỗi gia đình có đôi vợ chồng và con nhỏ chiếm một góc lều hay góc hang. Bấy giờ chưa có những quy định xã hội nên người ta gọi những hợp quần xã hội đầu tiên này là bầy người nguyên thuỷ.
Bây người nguyên thuỷ vẫn còn sống trong tình trạng “ăn lông ở lỗ” – một cuộc sống tự nhiên, bấp bênh, triền miên hàng triệu năm.
2. Người tinh khôn và óc sáng tạo
Đến cuối thời đá cũ, khoảng 4 vạn năm trước đây, con người hoàn thành quá trình tự cải biến mình, đã loại bỏ hết dấu tích vượn trên người, trở thành Người tinh khôn hay còn gọi là Người hiện đại.
Người tình khôn có cấu tạo cơ thể như người ngày nay : xương cốt nhỏ hơn Người tối cổ ; bàn tay nhỏ, khéo léo, các ngón tay linh hoạt ; hộp sọ và thể tích não phát triển, trán cao, mặt phẳng ; cơ thể gọn và linh hoạt, tạo nên tư thế thích hợp với các hoạt động phức tạp của con người.
Di cốt Người tinh khôn được tìm thấy ở khắp các châu lục.
Đây là bước nhảy vọt thứ hai, sau bước nhảy vọt từ Vượn cổ thành Người tối cổ. Cũng từ đấy, khi lớp lông mỏng trên người không còn nữa, ở Người hiện đại lại xuất hiện những màu da khác nhau, chia thành da vàng, đen và trắng. Đó là ba chủng tộc lớn.
Sự khác nhau đó là kết quả của sự thích ứng lâu dài của con người với những hoàn cảnh tự nhiên khác nhau, chứ không phải sự khác nhau về trình độ hiểu biết.
Trong việc chế tạo công cụ, Người tinh khôn đã biết ghè hai rìa của một mảnh đá, làm cho nó gọn và sắc cạnh hơn, dùng làm rìu, dao, nạo. Họ còn lấy xương cá, cành cây đem mài hoặc đẽo nhọn đầu để làm lao."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 1 : SỰ XUẤT HIỆN LOÀI NGƯỜI VÀ BẦY NGƯỜI NGUYÊN THUỶ 
sgk 10|0009|"Từ đó, con người tiến tới biết chế tạo cung tên. Đây là một thành tựu lớn trong quá trình chế tạo Công cụ và vũ khí. Với cung tên, con người mới săn bắn có hiệu quả và an toàn.
Thức ăn của con người đã tăng lên đáng kể, nhất là thức ăn động vật, từ khi kĩ thuật thời đá cũ được hoàn thiện và đặc biệt là từ khi có cung tên.
Người ta cũng có thể rời hang động ra dựng lều, định cư ở những địa điểm thuận tiện hơn. Cư trú “nhà cửa” phổ biến ở Người tinh khôn từ cuối thời đá cũ.
Đến khoảng 1 vạn năm trước đây, loài người tiến vào thời đá mới.
Điểm nổi bật của công cụ đá mới là người ta có thể ghè đẽo những mảnh đá thành hình dạng gọn và chính xác, thích hợp với từng công việc, với nhiều kiểu loại theo những yêu cầu khác nhau (dao, rìu, đục...), được mài nhẵn ở rìa lưỡi hay toàn thân, được khoan lỗ hay có nấc để tra cán.
Có thể nói rằng, công cụ thời đá cũ vẫn là những mảnh đá được ghè đẽo thô sơ, còn công cụ thời đá mới là những mảnh đá đã được con người ghè sắc và mài nhẵn thành hình công cụ.
Cũng thời gian này, người ta biết đan lưới đánh cá bằng sợi vỏ cây và làm chì lưới bằng đất nung, biết làm đồ gốm để đựng và đun nấu (nồi, bát, vò...).
3. Cuộc cách mạng thời đá mới
Các nhà khảo cổ coi thời đá mới là một cuộc cách mạng, khi con người từ săn bắn, lượm hái, đánh cá đã tiến tới biết trồng trọt và chăn nuôi. Việc lượm hái năm này qua năm khác đã đem lại kinh nghiệm trồng và thu hoạch theo thời vụ một số cây lương thực và thực phẩm như khoai, củ, bầu, bí, lúa... Đi săn, bắt được thu nhỏ, người ta giữ lại để nuôi và thuần dưỡng thành gia súc, trước tiên là chó rồi đến cừu, lợn (heo), bò v.v...
Con người có óc sáng tạo, và ở thời đá mới này, họ bắt đầu biết khai thác từ thiên nhiên cái cần thiết cho cuộc sống của mình, chứ không chỉ thu lượm những cái có sẵn trong thiên nhiên.
Người ta cũng bắt đầu làm sạch những tấm da thú để che thân cho ấm và cho “có văn hoá”. Những chiếc cúc (khuy) và kim làm bằng xương tìm thấy trong các di chỉ văn hoá đã nói lên điều đó."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 1 : SỰ XUẤT HIỆN LOÀI NGƯỜI VÀ BẦY NGƯỜI NGUYÊN THUỶ 
sgk 10|0010|"Ngoài ra, người ta đã biết dùng đồ trang sức, như vòng cổ bằng vỏ ốc và chuỗi hạt xương (bằng cách đem khoan lỗ rồi lấy dây xấu lại), vòng tay, vòng cổ chân, hoa tại... bằng đá màu.
Các nhà khảo cổ học còn tìm thấy chiếc sáo bằng xương đùi lỗ, đàn đá và có lẽ còn có cả trống bịt da.
Như thế, từng bước, con người không ngừng sáng tạo, kiếm được thức ăn nhiều hơn, sống tốt hơn và vui hơn. Tuy nhiên, quá trình đó rất dài (4 năm), trong đó cuộc sống còn thấp kém và bấp bênh, Đời sống con người chỉ tiến bộ với tốc độ nhanh hơn và ổn định hơn từ thời đá mới, khoảng 1 vạn năm 5 van trước đây."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 1 : SỰ XUẤT HIỆN LOÀI NGƯỜI VÀ BẦY NGƯỜI NGUYÊN THUỶ 
sgk 10|0011|"Từ khi Người tình khôn xuất hiện, thị tộc hình thành cũng là bước đầu tiên của tổ chức xã hội loài người.
1. Thị tộc và bộ lạc
Đến giai đoạn Người tinh khôn, số dân đã tăng lên. Từng nhóm người cũng đông đúc hơn, gồm 2 – 3 thế hệ già trẻ cùng có chung dòng máu, được gọi là thị tộc – những người “cùng họ”.
Trong thị tộc, con cháu có thói quen tôn kính lớp ông bà, cha mẹ. Ngược lại, ông bà, cha mẹ đều chăm lo, bảo đảm nuôi dạy tất cả con cháu của thị tộc.
Trên một vùng sinh sống thuận lợi như ven sông, suối... thường không chỉ có thị tộc mà còn có bộ lạc.
Bộ lạc là tập hợp một số thị tỘC, Sống cạnh nhau, có họ hàng với nhau và cùng có một nguồn gốc tổ tiên xa xôi. Giữa các thị tộc trong một bộ lạc thường có quan hệ gắn bó với nhau, giúp đỡ nhau.
Đương nhiên, công việc thường xuyên và hàng đầu của thị tộc là kiếm thức ăn để nuôi sống thị tộc.
Những công việc như thế, nhất là việc săn đuổi, săn bẫy các con thú lớn, thú chạy nhanh, luôn đòi hỏi sự phân công hợp lí, sự “chung lưng đấu cật”, mỗi người mỗi việc, phối hợp ăn ý với nhau.
Yêu cầu của công việc và trình độ lao động thời nguyên thuỷ đòi hỏi sự hợp tác lao động của nhiều người, của cả thị tộc.
Thức ăn kiếm được chưa nhiều, chưa có đều đặn. Mọi người còn phải cùng làm, cùng cố gắng đến mức cao nhất để kiếm sống nên tự nhiên người ta thấy cần phải công bằng, phải được hưởng thụ bằng nhau."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 2 : XÃ HỘI NGUYÊN THUỶ 
sgk 10|0012|"Như thế, trong thị tộc không chỉ có sự hợp tác mà mọi của cải, mọi sinh hoạt được coi là của chung, việc chung, làm chung, ăn chung.
2. Buổi đầu của thời đại kim khí
Từ chỗ dùng những công cụ bằng đá, bằng xương, tre, gỗ, người ta bắt đầu biết chế tạo đồ dùng và công cụ bằng đồng.
Cư dân Tây Á và Ai Cập biết sử dụng đồng sớm nhất, thoạt tiên là đồng đỏ vào khoảng 5500 năm trước đây. Cách ngày nay khoảng 4000 năm, nhiều cư dân trên Trái Đất đã biết dùng đồng thau.
Khoảng 3000 năm trước đây, cư dân ở Tây Á và Nam Âu là những người đầu tiên biết đúc và sử dụng đồ sắt.
Công cụ kim khí đã mở ra một thời đại mới mà tác dụng và năng suất lao động của nó vượt xa thời đại đồ đá. Đặc biệt là công cụ bằng sắt thì không có một công cụ đá nào có thể so sánh được. Nhờ có đồ kim khí, nhất là sắt, người ta có thể khai phá những vùng đất đai mà trước kia chưa khai phá nổi, có thể cày sâu cuốc bẫm, có thể xẻ gỗ đóng thuyền đi biển, xẻ đá làm lâu đài và bản thận việc đúc sắt cũng là một ngành sản xuất quan trọng bậc nhất.
Đây thực sự là một cuộc cách mạng trong sản xuất. Lần đầu tiên trên chặng đường dài của lịch sử loài người, con người có thể làm ra một lượng sản phẩm thừa.
Suốt thời đồ đá, con người từ chỗ sống bấp bênh tiến tới đủ sống. Vào buổi đầu của thời đại kim khí, con người sản xuất không những đủ sống ở mức còn thấp của hàng nghìn năm trước, mà còn tạo ra được một lượng sản phẩm thừa thường xuyên.
3. Sự xuất hiện tư hữu và xã hội có giai cấp
Trong xã hội nguyên thuỷ, sự công bằng và bình đẳng là “nguyên tắc vàng”.
Bởi lúc ấy người ta sống trong cộng đồng, dựa vào nhau vì tình trạng đời sống còn quá thấp, nhưng khi bắt đầu có sản phẩm thừa thì lại không thể đem chia đều cho mọi người."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 2 : XÃ HỘI NGUYÊN THUỶ 
sgk 10|0013|"Trong xã hội, mỗi thành viên có những chức phận khác nhau. Ban đầu, một số người được cử chỉ huy dân binh, chuyên trách về lễ nghi hoặc điều hành các Công việc chung của thị tỘC, bộ lạc (xây đền, làm nhà, làm đường, đắp đê...).
Những người này lợi dụng chức phận để chiếm một phần sản phẩm xã hội cho riêng mình khi chi dùng các công việc chung. Chẳng bao lâu, họ có nhiều của cải hơn người khác. Thế là của tư hữu bắt đầu xuất hiện. Quan hệ cộng đồng bắt đầu bị phá vỡ. Gia đình cũng thay đổi theo. Đàn ông làm các việc nặng nhọc như cày bừa, làm thuỷ lợi, làm dân binh, nên đã có vai trò trụ cột và giành lấy quyền quyết định trong gia đình. Con cái lấy theo họ cha. Gia đình phụ hệ xuất hiện trong lòng thị tộc bình đẳng thời nguyên thuỷ.
Khả năng lao động của các gia đình khác nhau đã thúc đẩy thêm sự phân biệt giàu - nghèo, Xã hội nguyên thuỷ, hay còn gọi là xã hội thị tộc bộ lạc, bị rạn vỡ. Con người đang đứng trước ngưỡng cửa của thời đại xã hội có giai cấp đầu tiên xã hội cổ đại."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương I : XÃ HỘI NGUYÊN THUỶ |Bài 2 : XÃ HỘI NGUYÊN THUỶ 
sgk 10|0014|"Trên lưu vực các dòng sông lớn ở châu Á, châu Phi từ khoảng thiên niên kỉ IV trước Công nguyên (TCN), cư dân phường Đông đã biết tới nghề luyện kim, làm nông nghiệp và chăn nuôi gia súc. Họ đã xây dựng nên những quốc gia đầu tiên của mình, đó là xã hội có giai cấp đầu tiên mà trong đó thiểu số người có của thống trị đa số thành viên công xã và nô lệ. Quá trình hình thành và phát triển của nhà nước ở các quốc gia cổ đại phương Đông không giống nhau, nhưng thể chế chung là chế độ quân chủ chuyên chế, trong đó vua là người nắm mọi quyền hành và được cha truyền, con nôi.
Phương Đông cũng là cái nôi của văn minh nhân loại, nơi mà lần đầu tiên con người đã biết sáng tạo ra chữ viết, văn học, nghệ thuật và nhiều tri thức khoa học khác.
1. Điều kiện tự nhiên và sự phát triển kinh tế
Sự xuất hiện công cụ bằng kim loại đã báo hiệu sự tan vỡ hoàn toàn của chế độ công xã thị tộc và là khởi đầu của thời đại văn minh – thời đại con người"|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương II : XÃ HỘI CỔ ĐẠI |Bài 3 : CÁC QUỐC GIA CỔ ĐẠI PHƯƠNG ĐÔNG 
sgk 10|0015|"sản xuất ra ngày càng nhiều của cải, biết xây dựng những công trình kiến trúc đồ sộ, có chữ viết, nghệ thuật, khoa học và văn chương.
Bước chuyển mình vĩ đại đó đã diễn ra đầu tiên ở phương Đông, trên lưu vực của các dòng sông lớn như sông Nin ở Ai Cập ; C-phơ-rát và Ti-gơ-rơ ở Lưỡng Hà ; sông Ấn, sông Hằng ở Ấn Độ ; Hoàng Hà ở Trung Quốc V.V...
Ở đây có những điều kiện thiên nhiên hết sức thuận lợi cho đời sống của con người. Những đồng bằng ven sông rộng, đất đai phì nhiêu và mềm xốp, dễ canh tác, lượng mưa đều đặn phân bố theo mùa, có khí hậu ấm nóng (trừ Trung Quốc). Vào mùa mưa hằng năm, nước sông dâng cao, phủ lên các chân ruộng thấp một lớp đất phù sa màu mỡ, thích hợp cho việc gieo trồng các loại cây lương thực.
Do có điều kiện tự nhiên thuận lợi nên khoảng 3500 – 2000 năm TCN, cư dân đã tập trung khá động theo từng bộ lạc trên các thêm đất cao gần sông.
Đầu tiên là cư dân Tây Á và Ai Cập, rồi đến lượt cư dân trên các lưu vực sông còn lại. Lúc này, họ đã biết sử dụng đồng thau cùng với những công cụ bằng đá, tre và gỗ.
Cư dân trên lưu vực những dòng sông lớn ở châu Á và châu Phi sống chủ yếu bằng nghề nông. Họ đã biết trồng mỗi năm 2 vụ lúa.
Nhưng để đạt được điều đó, trước tiên người dân ở đây phải lo xây dựng hệ thống thuỷ lợi, đắp đê ngăn lũ, đào kênh máng dẫn nước... Công việc trị thuỷ khiến mọi người liên kết, gắn bó với nhau trong tổ chức công xã. Ngoài việc “lấy nghề nông làm gốc”, các cư dân nông nghiệp cổ này còn kết hợp nuôi gia súc, làm đồ gốm và dệt vải để đáp ứng nhu cầu hằng ngày của mình. Họ tiến hành trao đổi sản phẩm giữa vùng này với vùng khác. Đó là những ngành kinh tế bổ trợ cho nghề nông.
2. Sự hình thành các quốc gia cổ đại
Sản xuất phát triển tất yếu dẫn đến sự phân hoá xã hội, xuất hiện kẻ giàu, người nghèo, quý tộc và bình dân ; trên cơ sở đó, giai cấp và nhà nước đã ra đời."|Phần một : LỊCH SỬ THẾ GIỚI THỜI NGUYÊN THUỶ, CỔ ĐẠI VÀ TRUNG ĐẠI|Chương II : XÃ HỘI CỔ ĐẠI |Bài 3 : CÁC QUỐC GIA CỔ ĐẠI PHƯƠNG ĐÔNG 
